净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,net_return,industry_peers,positive_comp,negative_comp,index_peers,rolling_mean,comp_mean,rolling_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,comp_1,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,comp_vol
2022-09-28,1.058,3.619,-2.04%,开放申购,开放赎回,,-0.0060422960725075026,0.965324086423046,-0.006098296072507502,0,0,0,0,-0.0001346970891616901,,-0.03748033214669774,0,0.0,-10.578527837192118,0.00031801413524768635,0.04356529320237605,0.7480000257492065,2.72,25.05,3.43,-2.06,0.05810295558312277,0.20979711628303185
2022-09-29,1.064,3.625,0.57%,开放申购,开放赎回,,0.001657916551533578,0.9669245132035208,0.001601916551533578,0,0,0,0,-0.0001280654229555558,,-0.03561746957113935,0,0.0,-10.430274498430894,0.00024970297399572335,0.04581908549512445,0.746999979019165,2.72,25.05,3.43,-0.51,0.0570047674218546,0.2077296900429035
2022-09-30,1.041,3.602,-2.16%,开放申购,开放赎回,,-0.006344827586206914,0.953666931427059,-0.006400827586206913,0,0,0,0,-0.00018331936653591274,,-0.05114175196964533,0,0.0,-10.998578963682233,0.000338554438600508,0.03869455382912872,0.7440000176429749,2.72,25.05,3.43,-2.82,0.05799717875636306,0.20785363826480843
2022-10-10,1.025,3.586,-1.54%,开放申购,开放赎回,,-0.004441976679622428,0.9522039298990973,-0.004497976679622428,0,0,0,0,-0.00018943781601320575,,-0.05276102419693294,0,0.0,-11.393921200378811,0.0002419315834245814,0.04103443510383991,0.7080000042915344,2.72,25.05,3.43,-0.4,0.058322540694234516,0.22344376319129644
2022-10-11,1.024,3.585,-0.10%,开放申购,开放赎回,,-0.0002788622420524245,0.9524442082890541,-0.0003348622420524245,0,0,0,0,-0.0001884289951991529,,-0.05248094101058617,0,0.0,-11.41863009017235,0.0001778479997191553,0.048466082677124406,0.7080000042915344,2.72,25.05,2.96,0.77,0.058285361552184,0.22340127529600384
2022-10-12,1.039,3.6,1.46%,开放申购,开放赎回,,0.004184100418409997,0.952380952380953,0.004128100418409998,0,0,0,0,-0.00018869578162328127,,-0.05256003877266235,0,0.0,-11.04799674326931,0.00018884271301252006,0.048686933915608605,0.7020000219345093,2.72,25.05,3.11,0.77,0.05849918456075752,0.22013456303565113
2022-10-13,1.052,3.613,1.25%,开放申购,开放赎回,,0.0036111111111110095,0.9515406900184354,0.0035551111111110094,0,0,0,0,-0.00019224075516825545,,-0.05361009409976532,0,0.0,-10.72678117595335,0.00022101550088141035,0.044476589857234045,0.6959999799728394,2.72,25.05,2.84,-0.29,0.05861156655771614,0.21432943327471074
2022-10-14,1.067,3.628,1.43%,开放申购,开放赎回,,0.00415167450871845,0.9570034291743595,0.004095674508718451,0,0,0,0,-0.00016931327757056856,,-0.04709333751149153,0,0.0,-10.356147829050311,0.0002467360702449613,0.04025748023179618,0.7110000252723694,2.72,25.05,2.58,-1.19,0.05895811897435336,0.21730489440086379
2022-10-17,1.075,3.636,0.75%,开放申购,开放赎回,,0.0022050716648291946,0.9621593014024863,0.0021490716648291945,0,0,0,0,-0.00014783142404235195,,-0.041140299303197556,0,0.0,-10.158476710702011,0.0002693695569155619,0.04453613555814532,0.7049999833106995,2.72,25.05,3.13,-0.91,0.05897830826133966,0.21756238254921786
2022-10-18,1.087,3.648,1.12%,开放申购,开放赎回,,0.0033003300330032292,0.9610115911485763,0.003244330033003229,0,0,0,0,-0.00015262428226440106,,-0.04253810445544729,0,0.0,-9.861970033179578,0.0002732688330089395,0.044014474088866634,0.7009999752044678,2.72,25.05,3.13,-0.97,0.058355518063982925,0.21669581939071908
2022-10-19,1.077,3.638,-0.92%,开放申购,开放赎回,,-0.0027412280701755165,0.9593881856540085,-0.0027972280701755166,0,0,0,0,-0.00015937423142603046,,-0.044378886325156575,0,0.0,-10.109058931114944,0.00024742881687996233,0.03887680956175719,0.6800000071525574,2.72,25.05,2.17,-1.78,0.05853907751614971,0.2206095115402098
2022-10-20,1.071,3.632,-0.56%,开放申购,开放赎回,,-0.0016492578339746267,0.9616097431824197,-0.0017052578339746267,0,0,0,0,-0.00015014847795180274,,-0.041889325218992426,0,0.0,-10.257312269876156,0.0002501987676047507,0.043451938534583415,0.6790000200271606,2.72,25.05,2.41,-1.05,0.058620582360879525,0.21843741041879444
2022-10-21,1.067,3.628,-0.37%,开放申购,开放赎回,,-0.0011013215859030367,0.9620790241315295,-0.0011573215859030368,0,0,0,0,-0.0001481995148911257,,-0.041353093538636185,0,0.0,-10.3561478290503,0.00023882514069613824,0.044270517747532045,0.6690000295639038,2.72,25.05,2.48,-0.65,0.05819598034477309,0.2182569031602501
2022-10-24,1.095,3.656,2.62%,开放申购,开放赎回,,0.007717750826901959,0.9631190727081127,0.007661750826901959,0,0,0,0,-0.00014384667652650362,,-0.04003928683490499,0,0.0,-9.66429891483128,0.0002695699825434593,0.04161406073596315,0.6330000162124634,2.72,25.05,2.48,-1.39,0.05852447931026452,0.23384361764131298
2022-10-25,1.089,3.65,-0.55%,开放申购,开放赎回,,-0.001641137855579955,0.9656084656084659,-0.001697137855579955,0,0,0,0,-0.00013355137547253282,,-0.03725660652183689,0,0.0,-9.8125522535925,0.00025249984262674463,0.011160887509006578,0.6320000290870667,2.72,25.05,1.27,-3.01,0.0586046670285881,0.23267868005911085
2022-10-26,1.089,3.65,0.00%,开放申购,开放赎回,,0.0,0.9663754302356357,-5.6e-05,0,0,0,0,-0.0001303767722979301,,-0.036373372932223556,0,0.0,-9.8125522535925,0.0002268906112558251,0.01149129781923825,0.6330000162124634,2.72,25.05,1.27,-2.56,0.058345593960606915,0.2315884974901504
2022-10-27,1.076,3.637,-1.19%,开放申购,开放赎回,,-0.0035616438356164126,0.9685752330226365,-0.0036176438356164127,0,0,0,0,-0.0001213244331580019,,-0.03395734381317841,0,0.0,-10.133767820908473,0.00026696694722474866,0.013947844725309987,0.6100000143051147,2.72,25.05,1.93,-2.56,0.05866267736178696,0.23740339735827
