净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,CAGR,net_return,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2022-03-25,1.459,1.559,,暂停申购,暂停赎回,,0.0,0.26337115072933703,0.0,-1.6e-05,116.88600158691406,-0.0016281829951114712,0.0009372438765473818,114.3126760559082,0.5126699773088993,0.241240221666375,0,0.0,-0.38338658146964694,-0.0004927693951351827,1.1985604937546448,77.64,-16.31,41.59,-8.99,0.028963768092166376,0.04133983337914717,0.022174714923253645
2022-04-01,1.462,1.562,,暂停申购,暂停赎回,,0.0019243104554202972,0.2658022690437618,0.0,0.0019083104554202973,117.06700134277344,0.00034153849220741606,0.0009449411183690631,114.4425040588379,0.5168552772744283,0.24165615775413643,0,0.0,-0.19169329073480218,-0.000491001269925841,1.1975694336889045,77.64,-16.31,41.54,-8.71,0.028965173055118223,0.04133717501583526,0.022164322820503412
2022-04-08,1.465,1.565,,暂停申购,暂停赎回,,0.001920614596670811,0.26823338735818636,0.0,0.001904614596670811,117.4800033569336,-0.00010088902199312244,0.0009526235767557462,114.52164804077148,0.5210435565085247,0.23993016244516244,0,0.0,-0.0,-0.0004975125513639812,1.1985328492745673,77.64,-16.31,41.78,-8.74,0.028965940307219124,0.041341889453360155,0.02220717353128488
2022-04-15,1.468,1.568,,暂停申购,暂停赎回,,0.00191693290734829,0.2696356275303675,0.0,0.00190093290734829,117.36100006103516,0.003184927737461374,0.0009570498172992394,114.65430807495117,0.5231813757713104,0.23796714987058923,0,0.0,-0.0,-0.00048454824954796954,1.1987596880721278,77.64,-16.31,41.79,-8.85,0.028981616427400377,0.04118124544996913,0.022213395895045954
2022-04-22,1.469,1.569,,暂停申购,暂停赎回,,0.0006377551020406713,0.2714748784440859,0.0,0.0006217551020406714,117.08200073242188,0.0008085177151008205,0.0009628397041041636,114.77904006958008,0.527301600534479,0.2441179840784361,0,0.0,-0.0,-0.0004950683642581941,1.1960306739721607,77.64,-16.31,41.79,-9.42,0.02892912088831806,0.04104848118457532,0.022312114233387904
2022-04-29,1.471,1.571,,暂停申购,暂停赎回,,0.001274697259400881,0.2730956239870357,0.0,0.001258697259400881,117.2040023803711,0.00019849637169633283,0.0009679384931417671,114.89520809936523,0.5303600895185463,0.23657121309720414,0,0.0,-0.0,-0.0005053173302494146,1.1967493335734563,77.64,-16.31,41.79,-10.11,0.028914604824285577,0.04056891680373122,0.022021089666127206
2022-05-06,1.472,1.572,,暂停申购,暂停赎回,,0.0006365372374284028,0.27493917274939306,0.0,0.0006205372374284029,117.1240005493164,0.0010632790933101655,0.0009737261331773799,114.93958410644531,0.5345146053522605,0.24302288244927286,0,0.0,-0.0,-0.0004960303641512633,1.1963581389147975,77.64,-16.31,41.96,-10.11,0.028861412662300603,0.04044434453858506,0.02202711612836494
2022-05-13,1.475,1.575,,暂停申购,暂停赎回,,0.00190839694656475,0.27530364372469895,0.0,0.00189239694656475,117.4749984741211,0.001550747756177362,0.0009748714808987562,115.05550408935547,0.53499730920948,0.2403344964128139,0,0.0,-0.0,-0.0004954888266141328,1.1956705435192398,77.64,-16.31,41.96,-10.77,0.028869289992463836,0.04033983982327529,0.02174053283380378
2022-05-16,1.475,1.575,0.00%,开放申购,开放赎回,,0.0,0.2742718446601964,0.0,-1.6e-05,117.41000366210938,0.0005532650594248789,0.0009716326145019951,115.07934811401367,0.5329244695121318,0.2384082391056444,0,0.0,-0.0,-0.00047381437521160357,1.1929226590484103,77.64,-16.31,42.03,-10.14,0.02888529170813385,0.040320672065713284,0.02172667499263019
2022-05-17,1.476,1.576,0.07%,开放申购,开放赎回,,0.0006349206349207659,0.2750809061488697,0.0,0.0006189206349207659,117.4469985961914,0.00031982879497416405,0.0009741722970416782,115.10249609375,0.5345852164444717,0.23905085633783835,0,0.0,-0.0,-0.00044996043354312795,1.1919124197045297,77.64,-16.31,42.03,-9.78,0.028870823108918375,0.04031596537164908,0.0216610863686769
2022-05-18,1.476,1.576,0.00%,开放申购,开放赎回,,0.0,0.2740501212611164,0.0,-1.6e-05,117.48999786376953,-0.00036611635965222433,0.0009709360510869848,115.12590408325195,0.5325145984346125,0.2640821659799218,0,0.0,-0.0,-0.00042804988089383146,1.1842305992551518,77.64,-16.31,42.54,-9.78,0.02888680061969464,0.0388484126327101,0.021657962446836022
2022-05-19,1.477,1.577,0.07%,开放申购,开放赎回,,0.0006345177664974777,0.27485852869846483,0.0,0.0006185177664974778,117.47200012207031,0.0007877030761107573,0.0009734741221529748,115.14932809448243,0.5341737825842198,0.293686046606187,0,0.0,-0.0,-0.00042705418751151733,1.184004466103907,77.64,-16.31,42.5,-9.45,0.028872352901796697,0.03729799328900943,0.021657187820928733
2022-05-20,1.477,1.577,0.00%,开放申购,开放赎回,,0.0,0.27280064568200313,0.0,-1.6e-05,117.48600006103516,-0.00011917681617990006,0.0009670068626541872,115.17280010986327,0.5304578654703548,0.28956175697557407,0,0.0,-0.0,-0.00042492867570238823,1.182712091508098,77.64,-16.31,42.5,-9.72,0.02888145030822434,0.03726424945033515,0.021656543892923198
2022-05-23,1.478,1.578,0.07%,开放申购,开放赎回,,0.0006341154090045986,0.27258064516129066,0.0,0.0006181154090045987,117.61499786376953,-0.0004638690543983248,0.0009663149142821346,115.19589208984375,0.530051137718771,0.2874908425067621,0,0.0,-0.0,-0.0004108113796104736,1.1847801437885848,77.64,-16.31,42.49,-9.04,0.028882929931044698,0.03728183462484276,0.021599651569372876
2022-05-24,1.478,1.578,0.00%,开放申购,开放赎回,,0.0,0.27155519742143586,0.0,-1.6e-05,117.71800231933594,-0.0008757765373232917,0.0009630891078305211,115.21947610473633,0.5279940319923764,0.29038806672990697,0,0.0,-0.0,-0.00040511490422607003,1.1843590000752817,77.64,-16.31,42.5,-8.79,0.028898665802391033,0.037201679381018773,0.021606713652996025
2022-05-25,1.478,1.578,0.00%,开放申购,开放赎回,,0.0,0.27155519742143586,0.0,-1.6e-05,117.8550033569336,-0.0011638070210027163,0.0009630891078305211,115.243912109375,0.5279940319923764,0.2925747817219731,0,0.0,-0.0,-0.00041927118907750564,1.1875788302016503,77.64,-16.31,42.51,-8.79,0.028898665802391033,0.037138781547076484,0.02160944785118117
2022-05-26,1.479,1.579,0.07%,开放申购,开放赎回,,0.0006337135614702394,0.2713365539452508,0.0,0.0006177135614702394,118.0999984741211,-0.0014450706242592481,0.0009624007549853464,115.26910809326172,0.5275901345829465,0.2921705020838268,0,0.0,-0.0,-0.00040716911396003236,1.185546342061724,77.64,-16.31,42.41,-8.79,0.028900118538010423,0.03714918181171531,0.021688067217860145
2022-05-27,1.479,1.579,0.00%,开放申购,开放赎回,,0.0,0.2703137570394225,0.0,-1.6e-05,118.12000274658203,-0.00016938418898737595,0.0009591801430690823,115.29450009155273,0.5255407247624218,0.2914601725488866,0,0.0,-0.0,-0.000393345991574643,1.1863335978428167,77.64,-16.31,42.3,-8.79,0.02891572853650905,0.03715605824548959,0.021682785452391756
2022-05-30,1.479,1.579,0.00%,开放申购,开放赎回,,0.0,0.2682730923694827,0.0,-1.6e-05,117.97599792480469,0.0012191400137899766,0.0009527441012348103,115.31951608276367,0.521861687132787,0.30443810391844717,0,0.0,-0.0,-0.00037426478752311065,1.1849544930384828,77.64,-16.31,42.38,-8.79,0.028924188936628042,0.0367808402139903,0.021720406182851183
2022-05-31,1.478,1.578,-0.07%,开放申购,开放赎回,,-0.0006333122229258414,0.2654370489174047,0.0,-0.0006493122229258414,117.78299713134766,0.0010026204824711282,0.0009437851495318621,115.34277606201172,0.5163140930536357,0.30347922948193345,0,0.0,-0.06333122229258292,-0.0003865386486728369,1.1862799282669085,77.64,-16.31,42.61,-8.76,0.028960062517656312,0.036770966742113144,0.02170765918110353
2022-06-02,1.477,1.577,,暂停申购,暂停赎回,,-0.0006337135614702394,0.2626100880704596,0.0,-0.0006497135614702393,117.75499725341797,0.0001724062682554317,0.0009348348983332949,115.38647204589844,0.5107965639772553,0.29965367195661863,0,0.0,-0.1266624445851799,-0.0003929932395067663,1.1880254966685728,77.64,-16.31,42.61,-7.84,0.028995278506648983,0.036724901301711375,0.021503121729874217
2022-06-10,1.477,1.577,,暂停申购,暂停赎回,,0.0,0.26160000000000094,0.0,-1.6e-05,117.85099792480469,0.0003308292904035115,0.0009316323362836552,115.49060006713867,0.5087874918197626,0.2989677763621247,0,0.0,-0.1266624445851799,-0.00039136292184961273,1.1864572795817234,77.64,-16.31,43.09,-7.56,0.029010049066068445,0.036726693211304666,0.021367651858985377
