净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,CAGR,purchase_comments,purchase_days,purchase_days_2,redeem_comments,redeem_days,redeem_days_2,net_return,industry_peers,positive_comp,negative_comp,benchmark_name,benchmark_name_2,index_peers,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2023-04-25,1.9599,2.2296,0.05%,开放申购,开放赎回,,0.0004487121959975138,0.0038721296713186693,0.0,0,0,0,0,0,0,0.0004047121959975138,0,0,0,0,0,0,2.877000093460083,0.013484687801564532,1.7054629671123144e-05,3.0592440052032472,0.009548255095472372,0.019746653964205326,0,0.0,-2.08168642951275,-0.00019008135661565772,6.029227540571931,4.6,17.26,6.44,18.19,0.028298187203413913,0.18399265359855527,0.20683067523979898
2023-04-26,1.9589,2.2286,-0.05%,开放申购,开放赎回,,-0.00044851094366693545,0.0038738738738743894,0.0,0,0,0,0,0,0,-0.0004925109436669354,0,0,0,0,0,0,2.8919999599456787,-0.005662228704640615,1.7061576441254723e-05,3.0584160051345823,0.009552154036169623,0.014847443089811676,0,0.0,-2.125603864734529,-0.0003168384044000216,6.056976217742075,4.6,17.26,6.57,18.04,0.028298158462633068,0.18389463139945655,0.2068395609679557
2023-04-27,1.963,2.2327,0.21%,开放申购,开放赎回,,0.0018397200035895622,0.00935804701627485,0.0,0,0,0,0,0,0,0.0017957200035895622,0,0,0,0,0,0,2.907000064849853,-0.0033470383338676246,3.8834870870027237e-05,3.0577600049972533,0.021878512619672545,0.008232008544643652,0,0.0,-1.945542380325227,-0.00025951372986025227,6.048650611469431,4.6,17.26,6.5,18.05,0.028121883630921416,0.18324505024096843,0.2067179411382923
2023-04-28,1.9683,2.238,0.27%,开放申购,开放赎回,,0.0023738074976487056,0.015426497277674756,0.0,0,0,0,0,0,0,0.0023298074976487054,0,0,0,0,0,0,2.933000087738037,-0.006570128624873162,6.279664697273769e-05,3.0574480056762696,0.03556019393426904,-0.0006025035057124684,0,0.0,-1.7127799736497715,-0.0002923945319668362,6.047309926486426,4.6,17.26,6.54,17.75,0.02797774255098895,0.18238188911120365,0.20599467249315295
2023-05-04,1.9685,2.2382,0.01%,开放申购,开放赎回,,8.936550491500661e-05,0.013677536231883503,0.0,0,0,0,0,0,0,4.5365504915006605e-05,0,0,0,0,0,0,2.9030001163482666,0.010317790493782564,5.589458086172661e-05,3.0572880058288576,0.03171445245960834,0.0022305048536991868,0,0.0,-1.703996486605416,-0.000310181617921526,6.030153309323509,4.6,17.26,6.57,17.47,0.027922404943054813,0.1826614967474051,0.20500406676297805
2023-05-05,1.9656,2.2353,-0.15%,开放申购,开放赎回,,-0.0012956840318112395,0.020219078046553873,0.0,0,0,0,0,0,0,-0.0013396840318112395,0,0,0,0,0,0,2.8929998874664307,0.0021491070398527157,8.150894618375748e-05,3.0570920057296753,0.04809437325581603,-0.011635738752945551,0,0.0,-1.8313570487485835,-0.0003094767787728689,6.054559608752063,4.6,17.26,6.57,17.61,0.026850436098101987,0.1779258141042779,0.2050331842305806
2023-05-08,1.9724,2.2421,0.35%,开放申购,开放赎回,,0.0030420972576388206,0.024725776965265123,0.0,0,0,0,0,0,0,0.0029980972576388203,0,0,0,0,0,0,2.9040000438690186,-0.000760238321510176,9.915428637816426e-05,3.057516005516052,0.05823967378657389,-0.015001414556285347,0,0.0,-1.5327184892404504,-0.00027991495402882147,6.0236242440958,4.6,17.26,6.57,17.15,0.026973226211552865,0.17770886568692223,0.19908504691836826
2023-05-09,1.97,2.2397,-0.12%,开放申购,开放赎回,,-0.0010704250479461885,0.01897179253867254,0.0,0,0,0,0,0,0,-0.0011144250479461885,0,0,0,0,0,0,2.88100004196167,0.006849685682047357,7.659105053738501e-05,3.057960005760193,0.04558043356703361,-0.0010741536574950953,0,0.0,-1.6381203337727386,-0.0003251147446904949,5.962791691064129,4.6,17.26,6.68,17.05,0.02662195283163801,0.1749005533902082,0.19898823955240316
2023-05-10,1.965,2.2347,-0.25%,开放申购,开放赎回,,-0.0022324418448899097,0.014389468906037983,0.0,0,0,0,0,0,0,-0.00227644184488991,0,0,0,0,0,0,2.884999990463257,-0.0036208307526747197,5.856210208412183e-05,3.058012005805969,0.034840826784117526,-0.0032099363650819265,0,0.0,-1.8577075098816505,-0.0003650334633097591,5.901767054635187,4.6,17.26,6.81,17.13,0.026629838954708947,0.17492252911597342,0.19557249197140184
2023-05-11,1.9644,2.2341,-0.03%,开放申购,开放赎回,,-0.0002684924150891943,0.01044776119403057,0.0,0,0,0,0,0,0,-0.0003124924150891943,0,0,0,0,0,0,2.8910000324249268,-0.0023482296703764005,4.2962485578553976e-05,3.058088006019592,0.025793315912645106,0.008275675981862903,0,0.0,-1.8840579710147176,-0.00025218943697403166,5.894314443261479,4.6,17.26,6.57,17.13,0.02638897715414557,0.1716582373501746,0.1955825461296608
