净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,purchase_comments,purchase_days,purchase_days_2,redeem_comments,redeem_days,redeem_days_2,benchmark_name,return,annual_return,CAGR,net_return,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2023-03-07,1.0397,1.0893,0.05%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0004592211609111274,0.010201242696836976,0.0,0.0004432211609111274,119.572998046875,-0.0006878453937977369,4.072765272700263e-05,118.53043218994141,0.08033119329548626,-0.13531236884428646,0,0.0,-0.00917936478797605,2.990538246566948e-05,1.6519232223197755,73.24,23.28,24.02,21.99,0.008032403149142308,0.015590297597105434,0.020942221703437645
2023-03-08,1.0395,1.0891,-0.02%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,-0.00018360414945373105,0.01001576555689443,0.0,-0.00019960414945373106,119.697998046875,-0.0012289906668262462,3.9993236129187704e-05,118.54247619628906,0.0788528607178204,-0.13858404570144964,0,0.0,-0.027538094363887385,3.0147746583349062e-05,1.653584384057397,73.24,23.28,24.15,22.0,0.008035435671356105,0.01562740235079849,0.020957183799039818
2023-03-09,1.0397,1.0893,0.02%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0001836378661279614,0.010294936004451527,0.0,0.0001676378661279614,119.69599914550781,0.0002003374049657225,4.1098741873584644e-05,118.55408419799805,0.08103082894570829,-0.1363678006857056,0,0.0,-0.00917936478797605,3.39702966953109e-05,1.6475591913037668,73.24,23.28,23.85,22.0,0.008035605006826188,0.01562966866848665,0.020941556232342878
2023-03-10,1.0399,1.0895,0.02%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.00018360414945384207,0.010293026706233555,0.0,0.00016760414945384206,119.73999786376953,-0.0001839830596075398,4.1091181101710285e-05,118.56695617675781,0.08101626360983213,-0.13172934637190364,0,0.0,-0.0,4.1138106290337004e-05,1.6397010141207302,73.24,23.28,23.98,21.8,0.008035571126883792,0.015574481863099397,0.020800807685588556
2023-03-13,1.04,1.0896,0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,9.178522257924371e-05,0.010385756676559943,0.0,7.578522257924371e-05,119.77999877929688,-0.00024227955310962557,4.145832199202726e-05,118.58008016967773,0.08173958784379229,-0.13160349298994736,0,0.0,-0.0,3.965113343635034e-05,1.6420913327525457,73.24,23.28,24.25,21.8,0.008035624085421435,0.01557422098859867,0.020799715495365047
2023-03-14,1.04,1.0896,0.00%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.01057317751808573,0.0,-1.6e-05,119.81900024414062,-0.00032560916047108535,4.2200161754638366e-05,118.59428817749023,0.08323450929706339,-0.13074837402439432,0,0.0,-0.0,4.5773914419018434e-05,1.632293610326935,73.24,23.28,24.31,21.8,0.008032505419273693,0.015569895704497816,0.020693242842787934
2023-03-15,1.04,1.0896,0.00%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.010479458406750908,0.0,-1.6e-05,119.76899719238281,0.00041732155714813146,4.182917306979306e-05,118.60848016357421,0.08250329982310513,-0.1267205697332882,0,0.0,-0.0,4.982399275182419e-05,1.63370382214803,73.24,23.28,24.47,21.8,0.008032454886819458,0.015573215127412552,0.020693798413616037
2023-03-16,1.0403,1.0899,0.03%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.00027533039647598123,0.01038286826735857,0.0,0.0002593303964759812,119.88600158691406,-0.0007015868131030611,4.14466775361575e-05,118.62248815917968,0.08178313573742457,-0.13733033460328384,0,0.0,-0.0,4.381972360568318e-05,1.6317485160369554,73.24,23.28,24.53,21.71,0.008029089500389414,0.01547614332625934,0.02067170392057754
2023-03-17,1.0404,1.09,0.01%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,9.175153683815829e-05,0.010101010101010832,0.0,7.575153683815829e-05,119.96199798583984,-0.0005421539894103766,4.0330416788173725e-05,118.63635614013671,0.07964645029612773,-0.13486972937247893,0,0.0,-0.0,4.200270433794912e-05,1.6340820636489306,73.24,23.28,24.55,22.41,0.008022442637869767,0.015443769491799278,0.020661215364117802
2023-03-20,1.0411,1.0907,0.07%,限制大额申购,开放赎回,每份派现金0.0458元,0,0.0,0.0,0.0,0.0,0.0,0,0.0006422018348624103,0.010749698823094178,0.0,0.0006262018348624104,119.9990005493164,0.0003337494574608968,4.289922412762337e-05,118.65185214233398,0.08448323138484534,-0.12878768359204826,0,0.0,-0.0,5.827619022672856e-05,1.6535647025619267,73.24,23.28,24.52,22.41,0.008044874175834497,0.015412513847859771,0.02039552610413884
