净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,annual_return,CAGR,net_return,comp_1,excess_return,rolling_mean,comp_mean,rolling_SR,excess_SR,drawdown_duration,drawdown_amount,underwater,alpha,beta,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,excess_vol,comp_vol
2013-10-30,1.073,1.073,-0.92%,开放申购,开放赎回,,-0.009233610341643606,,0.0,-0.009319610341643605,1763.31005859375,-0.0043576867454884205,,1580.5983198242188,,,0,0.0,-0.9233610341643584,0.0,0.0,97.87,92.22,,,,,0.1173117091048842
2013-10-31,1.073,1.073,0.00%,开放申购,开放赎回,,0.0,,0.0,-8.6e-05,1756.5400390625,0.0038393812241105385,,1581.9676801757812,,,0,0.0,-0.9233610341643584,0.0,0.0,97.87,92.22,,,,,0.11695588430213912
2013-11-01,1.073,1.073,0.00%,开放申购,开放赎回,,0.0,,0.0,-8.6e-05,1761.6400146484375,-0.002903421198789946,,1583.3452001953126,,,0,0.0,-0.9233610341643584,0.0,0.0,97.87,92.22,,,,,0.11696627985477445
2013-11-04,1.078,1.078,0.47%,开放申购,开放赎回,,0.004659832246039164,,0.0,0.004573832246039164,1767.9300537109375,0.0010892735562972877,,1584.7033603515624,,,0,0.0,-0.461680517082169,0.0,0.0,97.87,92.22,,,,,0.11678885675001453
2013-11-05,1.076,1.076,-0.19%,开放申购,开放赎回,,-0.0018552875695733162,,0.0,-0.0019412875695733161,1762.969970703125,0.0009503002405333305,,1586.1771201171875,,,0,0.0,-0.6463527239150407,0.0,0.0,97.87,92.22,,,,,0.11421316060893803
2013-11-06,1.075,1.075,-0.09%,开放申购,开放赎回,,-0.0009293680297398632,,0.0,-0.0010153680297398631,1770.489990234375,-0.00519490837144565,,1587.7490400390625,,,0,0.0,-0.7386888273314869,0.0,0.0,97.87,92.22,,,,,0.11349175748792899
2013-11-07,1.058,1.058,-1.58%,开放申购,开放赎回,,-0.015813953488372,,0.0,-0.015899953488372,1747.1500244140625,-0.002631181516177583,,1589.218240234375,,,0,0.0,-2.308402585410886,0.0,0.0,97.87,92.22,,,,,0.11437594720978521
2013-11-08,1.076,1.076,1.70%,开放申购,开放赎回,,0.017013232514177634,,0.0,0.016927232514177635,1770.6099853515625,0.003585672997433953,,1590.7805600585937,,,0,0.0,-0.6463527239150407,0.0,0.0,97.87,92.22,,,,,0.11504885386363009
2013-11-11,1.077,1.077,0.09%,开放申购,开放赎回,,0.0009293680297397522,,0.0,0.0008433680297397522,1771.8900146484375,0.00020643677584142317,,1592.37,,,0,0.0,-0.5540166204986151,0.0,0.0,97.87,92.22,,,,,0.11493932349731639
2013-11-12,1.077,1.077,0.00%,开放申购,开放赎回,,0.0,,0.0,-8.6e-05,1767.68994140625,0.0023703916199453445,,1594.0187998046874,,,0,0.0,-0.5540166204986151,0.0,0.0,97.87,92.22,,,,,0.11401523277185101
