净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配,return,positive_comp,negative_comp,rolling_SR,drawdown_duration,drawdown_amount,alpha,beta,comp_1,Upside_Capture_mean,Downside_Capture_mean,Upside_Capture,Downside_Capture,vol,comp_vol
2023-11-21,0.833,3.396,-0.95%,开放申购,开放赎回,,-0.002350176263219761,0,0,-0.11300149027427916,0,0.0,-0.00013410024562500334,0.06343611226837934,0.6650000214576721,2.72,25.05,5.1,11.3,0.033182279974776664,0.19413595406009646
2023-11-22,0.826,3.389,-0.84%,开放申购,开放赎回,,-0.0020612485276796377,0,0,-0.1525347685918866,0,0.0,-0.00018434172160435375,0.061036450915757934,0.6589999794960022,2.72,25.05,4.34,11.63,0.032423024589690985,0.1938386462924838
2023-11-23,0.835,3.398,1.09%,开放申购,开放赎回,,0.0026556506344055375,0,0,-0.09865331552111314,0,0.0,-0.00025328473746670673,0.065936572486634,0.6600000262260437,2.72,25.05,4.34,13.35,0.032356514873041295,0.19324612879193603
2023-11-24,0.824,3.387,-1.32%,开放申购,开放赎回,,-0.0032371983519717817,0,0,-0.1332832117448736,0,0.0,-0.00019471585824098212,0.06459666607387471,0.6570000052452087,2.72,25.05,4.9,12.67,0.0322991476884747,0.1896786762502127
2023-11-27,0.826,3.389,0.24%,开放申购,开放赎回,,0.000590493061706443,0,0,-0.11672137791328453,0,0.0,-0.00020632816812158478,0.0623709918776882,0.6499999761581421,2.72,25.05,4.9,13.06,0.03210706344852813,0.1901541265052844
2023-11-28,0.833,3.396,0.85%,开放申购,开放赎回,,0.0020655060489820354,0,0,-0.10607325521973598,0,0.0,-0.00021188585287003204,0.060298315506430104,0.6499999761581421,2.72,25.05,4.54,12.64,0.0321703298379901,0.1899765472443592
2023-11-29,0.827,3.39,-0.72%,开放申购,开放赎回,,-0.0017667844522967213,0,0,-0.18485660743957463,0,0.0,-0.0002055212024456155,0.059756535245370127,0.6489999890327454,2.72,25.05,4.68,12.64,0.032097399368414166,0.18907788191289693
2023-11-30,0.822,3.385,-0.60%,开放申购,开放赎回,,-0.001474926253687392,0,0,-0.2057044289803175,0,0.0,-0.00024982647493168575,0.062168656687180225,0.6520000100135803,2.72,25.05,4.68,13.85,0.03121255525618309,0.18922190837819938
2023-12-01,0.814,3.377,-0.97%,开放申购,开放赎回,,-0.0023633677991137247,0,0,-0.20813731315526557,0,0.0,-0.00031910614525187703,0.06251507855688725,0.6460000276565552,2.72,25.05,4.28,15.12,0.03131035246075022,0.18974543670087696
2023-12-04,0.817,3.38,0.37%,开放申购,开放赎回,,0.0008883624518805089,0,0,-0.1896560714660209,0,0.0,-0.0003215353862310755,0.06328109574937414,0.6349999904632568,2.72,25.05,4.28,13.94,0.03134075127437772,0.19164697670933956
2023-12-05,0.805,3.368,-1.47%,开放申购,开放赎回,,-0.0035502958579881616,0,0,-0.23657157655163052,0,0.0,-0.0003061067962224764,0.060225151446151676,0.6230000257492065,2.72,25.05,4.19,13.26,0.03162770552344812,0.18906666771603312
2023-12-06,0.805,3.368,0.00%,开放申购,开放赎回,,0.0,0,0,-0.2290007661621156,0,0.0,-0.0002787251832223945,0.07035403505166411,0.625,2.72,25.05,5.25,13.74,0.031631298998713885,0.18816272329604058
2023-12-07,0.799,3.362,-0.75%,开放申购,开放赎回,,-0.0017814726840854611,0,0,-0.2759008491830071,0,0.0,-0.0002843345595000853,0.07094942738900192,0.6209999918937683,2.72,25.05,5.2,13.91,0.03149942094117056,0.18775030033552217
2023-12-08,0.79,3.353,-1.13%,开放申购,开放赎回,,-0.0026769779892920065,0,0,-0.2801706023605695,0,0.0,-0.00027901387385679535,0.07023903608722959,0.621999979019165,2.72,25.05,5.2,14.24,0.03156999195427918,0.18779248368262896
2023-12-11,0.804,3.367,1.77%,开放申购,开放赎回,,0.0041753653444676075,0,0,-0.26612348217379567,0,0.0,-0.0002847117821039564,0.06988094206646127,0.6159999966621399,2.72,25.05,5.08,14.24,0.03245467273193803,0.1852747119770945
2023-12-12,0.806,3.369,0.25%,开放申购,开放赎回,,0.0005940005940006099,0,0,-0.24209077461206466,0,0.0,-0.0002182403730352383,0.06810302500139097,0.6200000047683716,2.72,25.05,5.42,12.92,0.03248562087209773,0.1851157070152296
2023-12-13,0.799,3.362,-0.87%,开放申购,开放赎回,,-0.0020777678836449986,0,0,-0.2537218433320579,0,0.0,-0.00021725697213064772,0.06857409274394567,0.6010000109672546,2.72,25.05,5.45,13.0,0.03261878525707238,0.17478771641895913
2023-12-15,0.789,3.352,-0.88%,开放申购,开放赎回,,-0.0020839535576064883,0,0,-0.25483150825216305,0,0.0,-0.00014882701363391735,0.08287614675744007,0.5920000076293945,2.72,25.05,5.81,12.84,0.03265714469555167,0.1712944900051753
2023-12-18,0.78,3.343,-1.14%,开放申购,开放赎回,,-0.002684964200477258,0,0,-0.27278556642933344,0,0.0,-0.000145621774258645,0.08498863239530363,0.5910000205039978,2.72,25.05,6.91,13.27,0.032878824940222595,0.17129644672652802
2023-12-19,0.769,3.332,-1.41%,开放申购,开放赎回,,-0.0032904576727490475,0,0,-0.3020059237946124,0,0.0,-0.00016717919868801642,0.08482562069954618,0.5910000205039978,2.72,25.05,6.91,13.95,0.03319817924093639,0.17129644672652802
2023-12-20,0.757,3.32,-1.56%,开放申购,开放赎回,,-0.0036014405762304635,0,0,-0.3055350665933324,0,0.0,-0.00021215355409109356,0.08396767837470269,0.5839999914169312,2.72,25.05,5.66,13.95,0.03362174250409526,0.17122432795523015
2023-12-21,0.761,3.324,0.53%,开放申购,开放赎回,,0.00120481927710836,0,0,-0.2816817510219546,0,0.0,-0.0002396379880416501,0.08679250485679688,0.593999981880188,2.72,25.05,5.66,14.7,0.03366326645659495,0.17416278318651565
2023-12-22,0.767,3.33,0.79%,开放申购,开放赎回,,0.0018050541516245744,0,0,-0.2498249756159216,0,0.0,-0.0002519162035151519,0.08639635006518677,0.5929999947547913,2.72,25.05,5.41,14.7,0.033828866648571806,0.17406377175673413
2023-12-25,0.773,3.336,0.78%,开放申购,开放赎回,,0.0018018018018017834,0,0,-0.2625687181701099,0,0.0,-0.00023563066334467868,0.0862618673523285,0.5979999899864197,2.72,25.05,5.26,14.22,0.033985844445714036,0.17486114209227802
2023-12-26,0.766,3.329,-0.91%,开放申购,开放赎回,,-0.0020983213429255354,0,0,-0.2692763320539197,0,0.0,-0.00021087797554995264,0.087283701466319,0.593999981880188,2.72,25.05,5.62,13.99,0.03403168114240323,0.17171729704862776
2023-12-27,0.767,3.33,0.13%,开放申购,开放赎回,,0.00030039050765995334,0,0,-0.25255864956148993,0,0.0,-0.00022736427712036802,0.08868547430773677,0.5950000286102295,2.72,25.05,5.62,14.45,0.034012510525198374,0.1710635661917452
2023-12-28,0.775,3.338,1.04%,开放申购,开放赎回,,0.002402402402402304,0,0,-0.24226929184268187,0,0.0,-0.00024024364049166018,0.09048765270204912,0.6179999709129333,2.72,25.05,5.67,14.88,0.034304228617976794,0.18379159191931038
2023-12-29,0.781,3.344,0.77%,开放申购,开放赎回,,0.0017974835230676334,0,0,-0.2357786845339523,0,0.0,-0.0002460530170561872,0.08756136302602656,0.6169999837875366,2.72,25.05,5.55,14.65,0.03432809697983184,0.1837923872222874
2024-01-02,0.775,3.338,-0.77%,开放申购,开放赎回,,-0.0017942583732056816,0,0,-0.23033310555062733,0,0.0,-0.00020026703963918466,0.08746019148709809,0.6029999852180481,2.72,25.05,5.55,13.58,0.03338109084859169,0.18494730151097757
2024-01-03,0.769,3.332,-0.77%,开放申购,开放赎回,,-0.0017974835230677444,0,0,-0.22301577903784647,0,0.0,-0.00024382943339056604,0.08180502394857243,0.6000000238418579,2.72,25.05,4.62,13.51,0.033455123455301626,0.18206546312090488
2024-01-04,0.762,3.325,-0.91%,开放申购,开放赎回,,-0.0021008403361343353,0,0,-0.23442892420404188,0,0.0,-0.000265691556143153,0.08401697195863188,0.5889999866485596,2.72,25.05,4.62,14.13,0.03324919610915038,0.18416293638988243
2024-01-05,0.751,3.314,-1.44%,开放申购,开放赎回,,-0.0033082706766918157,0,0,-0.24024832676716226,0,0.0,-0.00024087313477436724,0.08385239970523284,0.5820000171661377,2.72,25.05,4.62,13.53,0.033217206186307864,0.1849518873620271
2024-01-08,0.74,3.303,-1.46%,开放申购,开放赎回,,-0.003319251659625877,0,0,-0.2499159992877044,0,0.0,-0.00029405414971156083,0.08550070268213472,0.574999988079071,2.72,25.05,4.62,14.75,0.03301474406423579,0.18420199594868567
2024-01-09,0.74,3.303,0.00%,开放申购,开放赎回,,0.0,0,0,-0.25798910369945804,0,0.0,-0.00029162456472339585,0.08437278922627028,0.5740000009536743,2.72,25.05,4.62,14.67,0.03291323229250635,0.18027310093310034
2024-01-10,0.734,3.297,-0.81%,开放申购,开放赎回,,-0.0018165304268845661,0,0,-0.25639295896138836,0,0.0,-0.0002823202288567017,0.08496055961007805,0.5809999704360962,2.72,25.05,4.65,14.63,0.03295000199585714,0.18176036251324412
2024-01-11,0.739,3.302,0.68%,开放申购,开放赎回,,0.0015165301789505925,0,0,-0.22070745300998912,0,0.0,-0.0003077350203707453,0.08173147431914889,0.5839999914169312,2.72,25.05,3.94,14.37,0.033040132647568575,0.18210572681187437
2024-01-12,0.735,3.298,-0.54%,开放申购,开放赎回,,-0.0012113870381587066,0,0,-0.21068187476584002,0,0.0,-0.0003041578594813933,0.08237713411453286,0.5799999833106995,2.72,25.05,4.04,14.37,0.031163373858313474,0.18089369143990042
